Ax,Ay,Az,Gx,Gy,Gz,Label
0.002,-0.002,1.021,0.551,-2.231,1.374,Idle
0.001,-0.001,1.020,0.507,-2.240,1.365,Idle
0.001,-0.002,1.020,0.543,-2.275,1.400,Idle
0.002,-0.005,1.020,0.507,-2.266,1.418,Idle
0.002,-0.005,1.020,0.543,-2.266,1.339,Idle
0.000,-0.000,1.020,0.525,-2.231,1.418,Idle
0.000,-0.000,1.018,0.525,-2.249,1.356,Idle
0.003,-0.002,1.019,0.472,-2.257,1.356,Idle
0.001,-0.003,1.019,0.507,-2.275,1.400,Idle
0.002,-0.001,1.019,0.516,-2.275,1.374,Idle
0.002,-0.002,1.019,0.499,-2.240,1.383,Idle
0.002,-0.003,1.019,0.534,-2.257,1.374,Idle
0.002,-0.003,1.019,0.534,-2.231,1.374,Idle
0.002,-0.000,1.020,0.551,-2.231,1.400,Idle
0.001,-0.002,1.019,0.516,-2.257,1.383,Idle
0.002,-0.004,1.019,0.525,-2.240,1.383,Idle
0.003,-0.001,1.018,0.551,-2.257,1.374,Idle
0.002,-0.002,1.021,0.525,-2.257,1.409,Idle
0.003,-0.004,1.020,0.534,-2.275,1.409,Idle
0.002,-0.003,1.020,0.516,-2.257,1.383,Idle
0.002,-0.000,1.019,0.507,-2.275,1.383,Idle
0.002,-0.001,1.018,0.464,-2.223,1.409,Idle
0.002,-0.004,1.019,0.507,-2.249,1.383,Idle
0.002,-0.003,1.017,0.534,-2.231,1.374,Idle
0.002,-0.002,1.021,0.534,-2.240,1.374,Idle
0.003,-0.003,1.018,0.516,-2.249,1.400,Idle
0.002,-0.002,1.020,0.516,-2.249,1.400,Idle
0.002,-0.002,1.022,0.551,-2.266,1.356,Idle
0.003,-0.002,1.020,0.507,-2.310,1.383,Idle
0.002,-0.003,1.020,0.543,-2.240,1.339,Idle
0.001,-0.003,1.019,0.577,-2.240,1.383,Idle
0.002,-0.001,1.020,0.543,-2.231,1.400,Idle
0.003,-0.002,1.018,0.516,-2.240,1.339,Idle
0.003,-0.002,1.019,0.525,-2.257,1.374,Idle
0.002,-0.002,1.022,0.569,-2.249,1.610,Idle
0.001,-0.001,1.021,0.499,-2.266,1.531,Idle
0.000,-0.008,1.019,0.543,-2.214,-0.770,Idle
0.003,-0.002,1.020,0.543,-2.266,1.409,Idle
0.002,-0.003,1.019,0.534,-2.240,1.383,Idle
0.002,-0.003,1.019,0.507,-2.240,1.339,Idle
0.002,-0.002,1.020,0.543,-2.231,1.400,Idle
0.001,-0.002,1.020,0.534,-2.257,1.391,Idle
0.002,-0.002,1.021,0.499,-2.240,1.409,Idle
0.003,-0.004,1.019,0.525,-2.257,1.383,Idle
0.002,-0.002,1.019,0.569,-2.223,1.365,Idle
0.001,-0.001,1.020,0.534,-2.249,1.391,Idle
0.003,-0.003,1.018,0.507,-2.275,1.418,Idle
0.003,-0.002,1.018,0.534,-2.275,1.374,Idle
0.001,-0.001,1.017,0.525,-2.249,1.400,Idle
0.002,-0.001,1.017,0.481,-2.240,1.339,Idle
0.002,-0.003,1.019,0.490,-2.284,1.365,Idle
0.002,-0.002,1.020,0.551,-2.249,1.374,Idle
0.002,-0.002,1.020,0.481,-2.257,1.356,Idle
0.002,-0.002,1.021,0.543,-2.240,1.418,Idle
0.002,-0.003,1.016,0.499,-2.257,1.400,Idle
0.003,-0.000,1.020,0.543,-2.257,1.365,Idle
0.001,0.000,1.021,0.534,-2.240,1.400,Idle
0.002,-0.002,1.019,0.525,-2.284,1.409,Idle
0.004,-0.002,1.018,0.551,-2.231,1.365,Idle
0.002,-0.001,1.019,0.569,-2.231,1.400,Idle
0.001,-0.000,1.020,0.499,-2.266,1.444,Idle
0.003,-0.003,1.018,0.551,-2.240,1.409,Idle
0.002,-0.001,1.018,0.525,-2.240,1.374,Idle
0.000,-0.000,1.021,0.551,-2.257,1.400,Idle
0.001,-0.002,1.019,0.525,-2.257,1.418,Idle
0.002,-0.002,1.022,0.525,-2.249,1.374,Idle
0.002,-0.002,1.017,0.499,-2.249,1.409,Idle
0.001,-0.003,1.019,0.516,-2.231,1.409,Idle
0.002,-0.002,1.020,0.516,-2.240,1.374,Idle
0.003,-0.004,1.017,0.516,-2.249,1.383,Idle
0.002,-0.001,1.017,0.525,-2.240,1.383,Idle
0.001,-0.002,1.018,0.472,-2.257,1.400,Idle
0.000,-0.004,1.019,0.507,-2.240,1.400,Idle
0.001,-0.005,1.020,0.543,-2.223,1.391,Idle
0.001,-0.002,1.020,0.534,-2.257,1.383,Idle
0.000,-0.002,1.019,0.499,-2.275,1.365,Idle
0.004,-0.003,1.020,0.534,-2.249,1.391,Idle
0.003,-0.002,1.019,0.525,-2.240,1.400,Idle
0.002,-0.002,1.019,0.569,-2.231,1.365,Idle
0.002,-0.003,1.019,0.551,-2.240,1.391,Idle
0.003,-0.003,1.022,0.525,-2.214,1.391,Idle
-0.000,0.000,1.023,0.569,-2.284,1.383,Idle
0.003,-0.002,1.019,0.490,-2.240,1.418,Idle
0.002,-0.002,1.019,0.525,-2.214,1.383,Idle
0.001,-0.002,1.021,0.534,-2.257,1.409,Idle
0.001,-0.001,1.020,0.490,-2.249,1.400,Idle
0.003,-0.002,1.019,0.525,-2.257,1.400,Idle
0.001,-0.002,1.020,0.534,-2.257,1.374,Idle
0.003,-0.003,1.017,0.507,-2.231,1.374,Idle
0.001,-0.003,1.019,0.534,-2.266,1.374,Idle
0.002,-0.002,1.021,0.577,-2.231,1.365,Idle
0.001,0.001,1.017,0.507,-2.240,1.365,Idle
0.000,0.001,1.020,0.534,-2.275,1.418,Idle
0.003,-0.008,1.020,0.543,-2.249,1.365,Idle
0.001,0.000,1.020,0.560,-2.266,1.391,Idle
0.001,-0.000,1.018,0.525,-2.266,1.365,Idle
0.002,-0.001,1.020,0.525,-2.319,1.383,Idle
0.003,-0.006,1.021,0.534,-2.240,1.409,Idle
0.002,0.000,1.021,0.543,-2.257,1.400,Idle
0.002,-0.003,1.019,0.507,-2.249,1.400,Idle
0.001,-0.000,1.019,0.525,-2.231,1.400,Idle
0.002,-0.004,1.018,0.543,-2.223,1.426,Idle
0.002,-0.002,1.019,0.551,-2.257,1.391,Idle
0.000,-0.001,1.019,0.499,-2.275,1.374,Idle
0.003,-0.003,1.020,0.516,-2.223,1.374,Idle
0.003,-0.003,1.020,0.525,-2.275,1.391,Idle
0.001,-0.000,1.020,0.516,-2.249,1.391,Idle
0.001,-0.000,1.019,0.534,-2.257,1.356,Idle
0.003,-0.004,1.020,0.525,-2.249,1.418,Idle
0.002,-0.002,1.019,0.560,-2.266,1.435,Idle
0.003,0.000,1.021,0.490,-2.266,1.418,Idle
0.003,-0.002,1.020,0.516,-2.231,1.347,Idle
0.003,-0.003,1.022,0.525,-2.249,1.400,Idle
0.001,-0.001,1.017,0.499,-2.231,1.391,Idle
0.001,0.000,1.019,0.525,-2.257,1.444,Idle
0.002,-0.003,1.018,0.551,-2.223,1.356,Idle
0.002,-0.003,1.019,0.507,-2.257,1.400,Idle
0.001,-0.000,1.020,0.543,-2.240,1.409,Idle
0.002,-0.002,1.020,0.534,-2.240,1.365,Idle
0.002,-0.003,1.020,0.543,-2.240,1.426,Idle
0.001,-0.002,1.022,0.543,-2.257,1.383,Idle
0.001,-0.004,1.024,0.534,-2.240,1.418,Idle
0.001,-0.002,1.018,0.543,-2.214,1.426,Idle
-0.001,0.001,1.025,0.560,-2.231,1.391,Idle
0.003,-0.000,1.017,0.534,-2.240,1.409,Idle
0.006,-0.007,1.020,0.551,-2.257,1.383,Idle
0.004,-0.008,1.017,0.490,-2.275,1.356,Idle
-0.006,0.015,1.020,0.534,-2.240,1.374,Idle
0.004,-0.009,1.021,0.543,-2.284,1.418,Idle
0.006,-0.013,1.018,0.516,-2.249,1.356,Idle
0.001,0.004,1.020,0.586,-2.240,1.356,Idle
-0.001,0.007,1.019,0.534,-2.231,1.400,Idle
0.005,-0.012,1.020,0.577,-2.257,1.383,Idle
0.006,-0.015,1.017,0.516,-2.275,1.383,Idle
-0.000,0.007,1.020,0.534,-2.266,1.400,Idle
-0.000,0.004,1.020,0.560,-2.275,1.365,Idle
0.005,-0.011,1.019,0.516,-2.223,1.409,Idle
0.005,-0.007,1.021,0.534,-2.257,1.391,Idle
-0.001,0.006,1.022,0.543,-2.231,1.383,Idle
0.002,-0.002,1.019,0.490,-2.284,1.383,Idle
0.004,-0.010,1.017,0.507,-2.214,1.374,Idle
0.003,-0.001,1.021,0.551,-2.275,1.374,Idle
-0.001,0.005,1.023,0.551,-2.266,1.400,Idle
0.002,-0.001,1.022,0.516,-2.266,1.418,Idle
0.005,-0.008,1.020,0.560,-2.257,1.356,Idle
0.002,-0.002,1.021,0.499,-2.257,1.391,Idle
0.001,0.002,1.019,0.507,-2.275,1.400,Idle
0.004,-0.005,1.018,0.507,-2.266,1.391,Idle
0.003,-0.006,1.018,0.534,-2.266,1.391,Idle
0.002,-0.001,1.019,0.551,-2.240,1.356,Idle
-0.000,0.003,1.020,0.516,-2.284,1.400,Idle
0.003,-0.006,1.020,0.569,-2.257,1.374,Idle
0.003,-0.006,1.018,0.543,-2.266,1.400,Idle
0.001,0.002,1.018,0.595,-2.223,1.409,Idle
-0.000,0.002,1.018,0.516,-2.231,1.391,Idle
0.003,-0.005,1.020,0.490,-2.249,1.374,Idle
0.003,-0.005,1.018,0.507,-2.231,1.400,Idle
0.001,-0.000,1.019,0.534,-2.284,1.391,Idle
0.001,-0.003,1.019,0.507,-2.249,1.383,Idle
0.004,-0.005,1.020,0.586,-2.275,1.383,Idle
0.002,-0.003,1.020,0.516,-2.240,1.383,Idle
0.001,0.001,1.019,0.525,-2.249,1.383,Idle
0.001,-0.000,1.019,0.534,-2.240,1.391,Idle
0.004,-0.008,1.018,0.507,-2.240,1.400,Idle
0.003,-0.004,1.020,0.507,-2.257,1.356,Idle
-0.001,0.003,1.019,0.525,-2.249,1.391,Idle
0.001,-0.002,1.018,0.560,-2.284,1.391,Idle
0.002,-0.004,1.020,0.534,-2.214,1.409,Idle
0.003,-0.002,1.021,0.516,-2.240,1.374,Idle
0.002,-0.004,1.019,0.516,-2.275,1.418,Idle
0.003,-0.003,1.019,0.481,-2.249,1.400,Idle
0.003,-0.002,1.020,0.472,-2.240,1.383,Idle
0.001,-0.001,1.018,0.534,-2.249,1.391,Idle
0.002,-0.002,1.019,0.560,-2.249,1.383,Idle
0.003,-0.003,1.019,0.543,-2.223,1.365,Idle
0.001,0.001,1.019,0.534,-2.266,1.356,Idle
0.001,0.001,1.019,0.516,-2.240,1.400,Idle
0.002,-0.001,1.018,0.543,-2.231,1.400,Idle
0.003,-0.004,1.020,0.551,-2.249,1.400,Idle
0.003,-0.005,1.020,0.534,-2.293,1.426,Idle
0.001,-0.002,1.021,0.525,-2.257,1.374,Idle
0.003,-0.004,1.020,0.516,-2.214,1.347,Idle
0.003,-0.002,1.019,0.525,-2.257,1.383,Idle
0.002,-0.002,1.019,0.534,-2.249,1.374,Idle
0.003,-0.002,1.019,0.507,-2.214,1.400,Idle
0.002,-0.001,1.018,0.499,-2.240,1.409,Idle
0.002,-0.003,1.019,0.551,-2.240,1.347,Idle
0.002,-0.004,1.019,0.560,-2.257,1.409,Idle
0.001,-0.001,1.020,0.516,-2.240,1.374,Idle
0.001,-0.002,1.019,0.507,-2.240,1.383,Idle
0.002,-0.003,1.020,0.490,-2.249,1.426,Idle
0.003,-0.003,1.019,0.560,-2.249,1.383,Idle
0.003,-0.001,1.020,0.534,-2.275,1.356,Idle
0.001,-0.000,1.019,0.525,-2.293,1.400,Idle
0.002,-0.002,1.020,0.525,-2.266,1.400,Idle
0.003,-0.002,1.020,0.525,-2.240,1.383,Idle
0.003,-0.001,1.020,0.543,-2.214,1.383,Idle
0.001,-0.003,1.020,0.525,-2.240,1.426,Idle
0.002,-0.003,1.019,0.525,-2.249,1.391,Idle
0.002,-0.002,1.018,0.490,-2.275,1.374,Idle
0.003,-0.002,1.019,0.560,-2.240,1.365,Idle
0.000,-0.002,1.023,0.507,-2.214,1.400,Idle
0.001,0.000,1.018,0.481,-2.240,1.365,Idle
0.001,-0.001,1.020,0.516,-2.223,1.356,Idle
0.002,-0.002,1.019,0.516,-2.293,1.374,Idle
0.002,-0.003,1.019,0.543,-2.240,1.365,Idle
0.003,0.000,1.019,0.472,-2.257,1.444,Idle
0.002,0.000,1.020,0.516,-2.257,1.391,Idle
0.004,-0.005,1.021,0.560,-2.240,1.409,Idle
0.003,-0.003,1.020,0.569,-2.266,1.391,Idle
0.003,-0.001,1.019,0.551,-2.249,1.365,Idle
0.001,0.002,1.019,0.507,-2.275,1.409,Idle
0.002,-0.003,1.021,0.551,-2.257,1.409,Idle
0.003,-0.004,1.021,0.534,-2.231,1.383,Idle
0.002,-0.002,1.021,0.560,-2.240,1.374,Idle
0.003,-0.002,1.020,0.499,-2.214,1.391,Idle
0.002,-0.003,1.018,0.481,-2.257,1.365,Idle
0.001,-0.002,1.021,0.499,-2.240,1.418,Idle
-0.001,-0.000,1.019,0.516,-2.240,1.383,Idle
0.002,-0.005,1.020,0.543,-2.205,1.374,Idle
0.002,-0.003,1.019,0.525,-2.240,1.383,Idle
0.001,0.001,1.020,0.543,-2.257,1.400,Idle
0.001,-0.001,1.020,0.534,-2.293,1.391,Idle
0.003,-0.005,1.020,0.551,-2.249,1.400,Idle
0.002,-0.003,1.021,0.507,-2.275,1.365,Idle
0.002,-0.001,1.020,0.490,-2.275,1.409,Idle
0.002,-0.001,1.022,0.516,-2.214,1.365,Idle
0.003,-0.006,1.019,0.525,-2.257,1.400,Idle
0.002,-0.002,1.021,0.534,-2.240,1.374,Idle
0.002,0.002,1.020,0.507,-2.266,1.356,Idle
0.002,-0.000,1.020,0.551,-2.231,1.400,Idle
0.003,-0.006,1.018,0.490,-2.249,1.400,Idle
0.002,-0.003,1.019,0.534,-2.284,1.347,Idle
0.001,0.001,1.019,0.534,-2.249,1.356,Idle
0.002,-0.000,1.020,0.560,-2.240,1.409,Idle
0.003,-0.005,1.022,0.543,-2.266,1.409,Idle
0.003,0.000,1.021,0.481,-2.275,1.400,Idle
0.002,0.002,1.022,0.543,-2.205,1.339,Idle
0.001,-0.001,1.020,0.490,-2.249,1.400,Idle
0.001,-0.006,1.017,0.507,-2.223,1.426,Idle
0.002,-0.004,1.019,0.499,-2.266,1.383,Idle
0.002,-0.003,1.018,0.507,-2.266,1.383,Idle
0.002,-0.002,1.019,0.560,-2.293,1.391,Idle
0.001,-0.001,1.017,0.569,-2.223,1.374,Idle
-0.000,0.001,1.022,0.507,-2.240,1.418,Idle
0.001,-0.000,1.020,0.534,-2.284,1.347,Idle
0.002,-0.003,1.021,0.551,-2.266,1.391,Idle
0.002,-0.001,1.019,0.499,-2.249,1.418,Idle
0.001,-0.000,1.019,0.525,-2.205,1.374,Idle
0.002,-0.003,1.019,0.507,-2.240,1.391,Idle
0.002,-0.006,1.019,0.560,-2.214,1.383,Idle
0.001,-0.005,1.018,0.516,-2.214,1.391,Idle
0.002,-0.001,1.020,0.516,-2.257,1.400,Idle
0.002,-0.000,1.021,0.507,-2.266,1.409,Idle
0.002,-0.003,1.020,0.525,-2.257,1.409,Idle
0.002,-0.004,1.019,0.525,-2.284,1.391,Idle
0.002,-0.002,1.019,0.507,-2.257,1.418,Idle
0.003,-0.002,1.019,0.516,-2.205,1.365,Idle
0.003,-0.002,1.020,0.534,-2.249,1.400,Idle
0.002,-0.002,1.021,0.525,-2.240,1.391,Idle
0.002,-0.003,1.020,0.507,-2.223,1.365,Idle
0.001,-0.001,1.019,0.490,-2.231,1.418,Idle
0.002,-0.002,1.018,0.499,-2.249,1.383,Idle
0.003,-0.001,1.020,0.507,-2.257,1.645,Idle
0.001,-0.002,1.018,0.577,-2.266,1.374,Idle
0.002,-0.002,1.018,0.499,-2.284,1.383,Idle
0.003,-0.003,1.019,0.551,-2.249,1.347,Idle
0.001,-0.001,1.020,0.534,-2.310,1.400,Idle
0.002,-0.001,1.020,0.543,-2.257,1.400,Idle
0.003,-0.002,1.020,0.534,-2.223,1.409,Idle
0.001,-0.002,1.019,0.516,-2.240,1.383,Idle
0.003,-0.003,1.020,0.516,-2.240,1.365,Idle
0.002,-0.002,1.018,0.516,-2.231,1.418,Idle
0.001,-0.002,1.020,0.543,-2.231,1.383,Idle
0.002,-0.002,1.018,0.525,-2.223,1.400,Idle
0.000,-0.001,1.019,0.525,-2.275,1.383,Idle
0.003,-0.003,1.020,0.551,-2.266,1.365,Idle
0.003,-0.002,1.020,0.525,-2.249,1.365,Idle
0.002,-0.002,1.020,0.516,-2.266,1.400,Idle
0.001,-0.000,1.020,0.499,-2.249,1.418,Idle
0.001,-0.001,1.020,0.543,-2.231,1.374,Idle
0.002,-0.003,1.018,0.516,-2.205,1.391,Idle
0.002,-0.003,1.017,0.507,-2.257,1.374,Idle
0.001,-0.001,1.018,0.499,-2.284,1.383,Idle
0.003,-0.003,1.020,0.534,-2.257,1.400,Idle
0.003,-0.003,1.022,0.543,-2.310,1.339,Idle
0.001,-0.000,1.021,0.499,-2.284,1.391,Idle
0.001,0.000,1.020,0.543,-2.284,1.391,Idle
0.002,-0.004,1.021,0.525,-2.266,1.400,Idle
0.001,-0.005,1.018,0.499,-2.257,1.339,Idle
0.001,-0.001,1.020,0.507,-2.231,1.347,Idle
0.002,-0.001,1.020,0.543,-2.257,1.374,Idle
0.002,-0.003,1.023,0.525,-2.249,1.400,Idle
0.002,-0.003,1.016,0.534,-2.249,1.347,Idle
0.001,-0.003,1.018,0.569,-2.293,1.374,Idle
0.002,-0.003,1.018,0.534,-2.266,1.391,Idle
0.002,-0.002,1.020,0.525,-2.240,1.383,Idle
0.002,-0.000,1.021,0.586,-2.240,1.418,Idle
0.001,-0.001,1.019,0.551,-2.257,1.426,Idle
0.001,-0.001,1.021,0.516,-2.249,1.365,Idle
0.001,-0.002,1.022,0.543,-2.240,1.391,Idle
0.000,-0.003,1.019,0.560,-2.249,1.409,Idle
0.002,-0.002,1.021,0.560,-2.257,1.391,Idle
0.002,-0.002,1.020,0.534,-2.240,1.365,Idle
0.001,-0.002,1.020,0.525,-2.275,1.374,Idle
0.003,-0.003,1.017,0.507,-2.257,1.383,Idle
0.001,-0.003,1.019,0.543,-2.257,1.374,Idle
0.001,0.001,1.022,0.543,-2.275,1.374,Idle
0.003,-0.004,1.020,0.569,-2.249,1.347,Idle
0.003,-0.004,1.019,0.543,-2.249,1.409,Idle
0.002,-0.001,1.020,0.516,-2.240,1.418,Idle
0.001,-0.002,1.020,0.507,-2.231,1.400,Idle
0.003,-0.004,1.022,0.543,-2.310,1.418,Idle
0.003,-0.002,1.017,0.534,-2.284,1.356,Idle
-0.001,0.000,1.020,0.543,-2.240,1.383,Idle
0.001,-0.002,1.019,0.516,-2.240,1.347,Idle
0.004,-0.004,1.021,0.534,-2.257,1.400,Idle
0.002,-0.003,1.021,0.560,-2.257,1.435,Idle
0.000,-0.002,1.018,0.525,-2.214,1.383,Idle
0.002,-0.004,1.021,0.507,-2.249,1.374,Idle
0.003,-0.003,1.020,0.507,-2.223,1.374,Idle
0.002,-0.000,1.022,0.569,-2.257,1.391,Idle
0.001,0.001,1.020,0.464,-2.266,1.418,Idle
0.003,-0.005,1.018,0.472,-2.266,1.383,Idle
0.004,-0.006,1.017,0.472,-2.257,1.356,Idle
0.000,0.000,1.022,0.507,-2.275,1.400,Idle
0.001,0.001,1.017,0.525,-2.249,1.347,Idle
0.000,-0.002,1.018,0.481,-2.240,1.400,Idle
0.003,-0.002,1.021,0.534,-2.214,1.374,Idle
0.001,-0.001,1.017,0.481,-2.257,1.374,Idle
0.002,-0.002,1.021,0.525,-2.275,1.383,Idle
0.003,-0.004,1.021,0.525,-2.249,1.409,Idle
0.001,0.000,1.017,0.534,-2.257,1.383,Idle
0.001,-0.001,1.019,0.507,-2.240,1.356,Idle
0.002,-0.005,1.017,0.534,-2.240,1.435,Idle
0.003,-0.004,1.021,0.551,-2.240,1.365,Idle
0.001,0.000,1.019,0.577,-2.257,1.365,Idle
0.002,-0.001,1.018,0.516,-2.284,1.383,Idle
0.002,-0.004,1.019,0.543,-2.257,1.383,Idle
0.002,-0.003,1.020,0.543,-2.249,1.330,Idle
0.002,-0.002,1.018,0.543,-2.249,1.383,Idle
0.002,-0.002,1.019,0.551,-2.249,1.374,Idle
0.003,-0.003,1.021,0.551,-2.301,1.391,Idle
0.003,-0.003,1.020,0.499,-2.249,1.409,Idle
0.001,-0.001,1.020,0.516,-2.249,1.418,Idle
0.002,-0.002,1.021,0.525,-2.266,1.400,Idle
0.003,-0.003,1.019,0.499,-2.240,1.409,Idle
0.002,-0.003,1.019,0.560,-2.223,1.356,Idle
0.002,-0.001,1.019,0.507,-2.293,1.339,Idle
0.002,-0.001,1.018,0.551,-2.257,1.374,Idle
0.003,-0.003,1.020,0.516,-2.266,1.391,Idle
0.002,-0.001,1.020,0.507,-2.223,1.426,Idle
0.002,-0.001,1.019,0.499,-2.231,1.383,Idle
0.002,-0.003,1.020,0.507,-2.240,1.400,Idle
0.002,-0.004,1.020,0.534,-2.266,1.374,Idle
0.002,-0.001,1.018,0.543,-2.223,1.374,Idle
0.001,0.000,1.019,0.525,-2.214,1.391,Idle
0.001,-0.001,1.017,0.525,-2.275,1.374,Idle
0.002,-0.003,1.019,0.543,-2.257,1.383,Idle
0.002,-0.002,1.021,0.569,-2.249,1.444,Idle
0.002,-0.001,1.019,0.560,-2.257,1.383,Idle
0.002,-0.002,1.018,0.543,-2.249,1.339,Idle
0.002,-0.001,1.022,0.543,-2.249,1.365,Idle
0.002,-0.003,1.017,0.543,-2.266,1.391,Idle
0.003,-0.004,1.021,0.551,-2.275,1.400,Idle
0.002,-0.001,1.022,0.481,-2.223,1.365,Idle
0.001,-0.003,1.018,0.551,-2.249,1.409,Idle
0.002,-0.001,1.021,0.507,-2.249,1.374,Idle
0.002,-0.003,1.019,0.543,-2.231,1.347,Idle
0.002,-0.003,1.019,0.525,-2.240,1.365,Idle
0.002,-0.000,1.020,0.516,-2.266,1.374,Idle
0.001,-0.000,1.018,0.499,-2.257,1.435,Idle
0.002,-0.001,1.019,0.534,-2.257,1.400,Idle
0.002,-0.003,1.021,0.516,-2.249,1.400,Idle
0.002,-0.003,1.022,0.551,-2.284,1.409,Idle
0.001,-0.002,1.021,0.499,-2.240,1.400,Idle
0.002,-0.001,1.020,0.534,-2.249,1.374,Idle
0.003,-0.003,1.019,0.490,-2.196,1.409,Idle
0.002,-0.004,1.018,0.507,-2.223,1.383,Idle
0.003,-0.002,1.019,0.551,-2.257,1.435,Idle
0.001,-0.001,1.018,0.543,-2.249,1.409,Idle
0.003,-0.003,1.019,0.543,-2.275,1.435,Idle
0.003,-0.004,1.021,0.569,-2.275,1.365,Idle
0.001,-0.002,1.019,0.507,-2.257,1.383,Idle
0.000,-0.000,1.021,0.516,-2.284,1.383,Idle
0.001,-0.003,1.021,0.490,-2.240,1.339,Idle
0.001,-0.003,1.020,0.543,-2.231,1.356,Idle
0.003,-0.003,1.021,0.525,-2.240,1.418,Idle
0.001,-0.002,1.018,0.490,-2.249,1.383,Idle
0.003,-0.003,1.017,0.490,-2.257,1.374,Idle
0.002,-0.002,1.017,0.543,-2.223,1.374,Idle
0.002,-0.003,1.018,0.534,-2.231,1.374,Idle
0.003,-0.002,1.021,0.499,-2.257,1.356,Idle
0.001,0.000,1.021,0.525,-2.266,1.339,Idle
0.002,-0.002,1.020,0.586,-2.231,1.374,Idle
0.002,-0.002,1.020,0.525,-2.240,1.383,Idle
0.002,-0.002,1.022,0.534,-2.266,1.383,Idle
0.002,-0.003,1.020,0.551,-2.266,1.391,Idle
0.001,-0.002,1.021,0.516,-2.284,1.435,Idle
0.002,-0.002,1.019,0.516,-2.249,1.356,Idle
0.001,-0.002,1.021,0.507,-2.249,1.435,Idle
0.001,-0.002,1.019,0.551,-2.231,1.400,Idle
0.001,-0.002,1.019,0.525,-2.249,1.418,Idle
0.003,-0.003,1.019,0.516,-2.240,1.400,Idle
0.002,-0.003,1.021,0.560,-2.205,1.339,Idle
0.001,-0.002,1.021,0.516,-2.249,1.400,Idle
0.001,-0.003,1.019,0.534,-2.275,1.400,Idle
0.002,-0.000,1.022,0.543,-2.257,1.391,Idle
0.002,-0.002,1.021,0.543,-2.240,1.365,Idle
0.002,-0.003,1.019,0.490,-2.240,1.418,Idle
0.002,-0.001,1.021,0.560,-2.240,1.400,Idle
0.003,-0.002,1.019,0.499,-2.284,1.383,Idle
0.001,-0.002,1.019,0.525,-2.266,1.374,Idle
0.002,-0.002,1.020,0.516,-2.275,1.356,Idle
0.001,-0.001,1.019,0.525,-2.266,1.356,Idle
0.002,-0.003,1.019,0.551,-2.231,1.400,Idle
0.002,-0.005,1.021,0.481,-2.240,1.418,Idle
0.002,-0.003,1.019,0.490,-2.266,1.374,Idle
0.001,-0.000,1.021,0.507,-2.284,1.356,Idle
0.002,-0.001,1.020,0.534,-2.249,1.391,Idle
0.002,-0.005,1.019,0.543,-2.231,1.426,Idle
0.001,-0.001,1.021,0.525,-2.257,1.383,Idle
0.003,-0.002,1.019,0.525,-2.257,1.400,Idle
0.002,-0.005,1.019,0.481,-2.266,1.383,Idle
0.003,-0.002,1.020,0.490,-2.231,1.391,Idle
0.001,-0.002,1.017,0.490,-2.249,1.356,Idle
0.002,-0.002,1.020,0.560,-2.275,1.409,Idle
0.002,-0.004,1.021,0.543,-2.257,1.383,Idle
0.004,-0.004,1.021,0.481,-2.257,1.374,Idle
0.002,-0.002,1.021,0.551,-2.231,1.383,Idle
0.002,-0.000,1.020,0.551,-2.249,1.365,Idle
0.001,-0.003,1.018,0.481,-2.240,1.409,Idle
0.001,-0.002,1.019,0.534,-2.240,1.374,Idle
0.002,-0.001,1.020,0.516,-2.266,1.400,Idle
0.003,-0.002,1.018,0.543,-2.266,1.409,Idle
-0.001,0.001,1.020,0.472,-2.266,1.400,Idle
0.002,-0.002,1.016,0.569,-2.275,1.391,Idle
0.003,-0.002,1.022,0.551,-2.266,1.383,Idle
0.003,-0.002,1.018,0.516,-2.223,1.365,Idle
0.002,-0.002,1.021,0.507,-2.266,1.383,Idle
0.003,-0.003,1.019,0.586,-2.223,1.461,Idle
0.002,-0.001,1.020,0.525,-2.214,1.374,Idle
0.002,-0.001,1.020,0.551,-2.284,1.365,Idle
0.002,-0.001,1.021,0.507,-2.266,1.374,Idle
0.002,-0.003,1.021,0.525,-2.249,1.400,Idle
0.001,-0.002,1.020,0.499,-2.231,1.409,Idle
0.002,-0.001,1.018,0.560,-2.257,1.356,Idle
0.003,-0.004,1.018,0.534,-2.249,1.391,Idle
0.002,-0.002,1.020,0.499,-2.257,1.426,Idle
0.001,-0.002,1.019,0.543,-2.223,1.374,Idle
0.001,-0.001,1.020,0.525,-2.266,1.383,Idle
0.002,-0.003,1.020,0.525,-2.223,1.444,Idle
0.004,-0.005,1.021,0.525,-2.284,1.400,Idle
0.001,-0.000,1.020,0.560,-2.293,1.374,Idle
0.001,-0.000,1.017,0.490,-2.275,1.339,Idle
0.003,-0.004,1.017,0.551,-2.257,1.356,Idle
0.001,-0.004,1.016,0.534,-2.223,1.400,Idle
0.002,-0.001,1.019,0.516,-2.249,1.409,Idle
0.001,-0.002,1.019,0.516,-2.249,1.391,Idle
0.002,-0.002,1.022,0.560,-2.257,1.400,Idle
0.002,-0.003,1.021,0.543,-2.214,1.374,Idle
0.002,-0.003,1.019,0.516,-2.249,1.435,Idle
0.001,-0.003,1.021,0.499,-2.257,1.374,Idle
0.003,-0.001,1.020,0.507,-2.284,1.391,Idle
0.002,-0.002,1.020,0.534,-2.257,1.400,Idle
0.001,0.000,1.020,0.560,-2.249,1.409,Idle
